0201000912Srikakulam                  
0201655912   276295   243280
0201656912   130140   114335
0201657912    21885    19045
0201660912      110      110
0201661912   344310   317165
0201662912   120725   102980
0201663912    30090    21370
0201664912     8290     4720
0201665912     2380     1295
0201666912     2090     1290
0201667912     4025     3845
0201670912   512065   452815
0201671912   148980   112465
0201672912    26760     8940
0201681912   345685   314165
0201682912    37455    17805
0201683912    53000    47710
0201684912    41710    41485
0201685912    25245    23970
0201686912     8970     7680
0201687912    37230    21420
0201688912   474835   431395
0201689912     7560     1565
0201690912   105740   100075
0201691912      395      280
0201692912      335      100
0201693912     2495      855
0201694912    18450     5955
0201695912   354245   322475
0201696912     1140      955
0201697912     7720     2155
0201698912    21460    19920
0201699912       85       45
0202000912Vizianagaram                
0202100912  2110943  1747443  1055335   874195
0202111912   960265   848591   615742   525419
0202112912   696820   677354   399817   388597
0202113912   368490   362723   239590   235270
0202114912   328330   314631   160227   153327
0202115912    32208    28648    22232    19792
0202116912   231237   142589   193693   117030
0202117912    20755    19113    18484    17088
0202118912     2905     2568     2047     1810
0202119912    36412    20250    33825    18385
0202120912     7169     4447     6502     4094
0202121912    62932    36390    50448    27502
0202122912    22095     8897    21696     8726
0202123912    78969    50924    60691    39425
0202124912   102244    98670     6646     5963
0202125912  1048434   800182   432947   342813
0202126912  1062509   947261   622388   531382
0202139912  1150678   898852   439593   348776
0202140912   607170   415397   407555   294463
0202141912    86760    67640    49220    39260
0202142912   128293    93043    79833    60153
0202143912    88611    59740    57572    41240
0202144912    63151    40520    42190    29600
0202145912    51461    31594    34397    23300
0202146912    40790    24790    29100    19060
0202147912   122003    79140    95113    66750
0202148912    21401    14330    17420    12460
0202149912     4700     4600     2710     2640
0202151912   425490   271567   297145   204113
0202152912   209376   120023   156795    97593
0202153912   129253    67870   100026    57430
0202154912    31936    14060    26156    12580
0202155912    31626    13880    25896    12410
0202156912    26887    11040    21427     9700
0202160912   220140   186060   111110    93380
0202161912   271757   228284   135778   114803
0202162912   227444   183743   120014    97173
0202163912   186551   147786    97539    77833
0202164912   172131   137890    81734    65264
0202165912   175818   142724    82486    66920
0202166912   152679   124330    73910    59490
0202167912   148264   122640    73440    60320
0202168912   131757   111390    67297    56370
0202169912   117038    99322    59858    50792
0202170912   103619    88730    52419    45370
0202171912    62694    53514    31370    27090
0202172912    69380    59330    33400    28820
0202173912    28220    24180    13850    12020
0202174912    21821    18900    10580     9290
0202175912     6270     5100     2830     2360
0202176912     5098     4186     2278     1909
0202177912     1246      984      598      478
0202178912     1113      914      576      489
0202179912      373      266      168      134
0202180912     7530     7170     4100     3890
0202181912     2740     1810     1500     1060
0202182912    90433    63323    58103    42863
0202183912    79021    52080    51932    36630
0202184912    56251    35150    37980    26150
0202185912    44431    26154    29977    19600
0202186912    34880    20010    24850    15510
0202187912   100613    62140    78633    52680
0202188912    16501    10380    13740     9260
0202189912      620      520      430      360
0202190912   156757   130917    78957    66407
0202192912      920      520      570      370
0202193912    30970    18400    21770    14230
0202194912    28047    16140    20590    13390
0202195912    20227    10590    15427     9060
0202196912    13360     5810    10600     5110
0202197912    32279    15160    27879    14090
0202198912     3270     1100     3040     1060
0202199912      180      150      150      120
0202200912   220352   179670   111499    91381
0202250912   190185   185759    94993    92711
0202300912   563900   435994   169575   115120
0202301912   130736    78240    44217    21900
0202302912    20086    10450     7333     3320
0202303912    77391    33019    29101    10902
0202304912   485959   402805   140174   104158
